梅花肉,ㄇㄟˊ ㄏㄨㄚ ㄖㄡˋ
地瓜葉,ㄉㄧˋ ㄍㄨㄚ ㄧㄝˋ
胡椒鹽,ㄏㄨˊ ㄐㄧㄠ ㄧㄢˊ
柴魚粉,ㄔㄞˊ ㄩˊ ㄈㄣˇ
黑胡椒粉,ㄏㄟ ㄏㄨˊ ㄐㄧㄠ ㄈㄣˇ
白胡椒粉,ㄅㄞˊ ㄏㄨˊ ㄐㄧㄠ ㄈㄣˇ
黑胡椒粒,ㄏㄟ ㄏㄨˊ ㄐㄧㄠ ㄌㄧˋ
嫩豆腐,ㄋㄣˋ ㄉㄡˋ ㄈㄨˇ
板豆腐,ㄅㄢˇ ㄉㄡˋ ㄈㄨˇ
豆包,ㄉㄡˋ ㄅㄠ
油豆腐,ㄧㄡˊ ㄉㄡˋ ㄈㄨˇ
圓通捲,ㄩㄢˊ ㄊㄨㄥ ㄐㄩㄢˇ
素火腿,ㄙㄨˋ ㄏㄨㄛˇ ㄊㄨㄟˇ
油麥菜,ㄧㄡˊ ㄇㄞˋ ㄘㄞˋ
茂谷柑,ㄇㄠˋ ㄍㄨˇ ㄍㄢ
桶柑,ㄊㄨㄥˇ ㄍㄢ
葡萄,ㄆㄨˊ ㄊㄠˊ
美濃瓜,ㄇㄟˇ ㄋㄨㄥˊ ㄍㄨㄚ
豬頰,ㄓㄨ ㄐㄧㄚˊ
豬頸,ㄓㄨ ㄐㄧㄣˇ
火龍果,ㄏㄨㄛˇ ㄌㄨㄥˊ ㄍㄨㄛˇ
豬皮,ㄓㄨ ㄇㄧˊ
豬頭皮,ㄓㄨ ㄊㄡˊ ㄆㄧˊ
肋排,ㄌㄜˋ ㄆㄞˊ
小里肌,ㄒㄧㄠˇ ㄌㄧˇ ㄐㄧ
豬耳朵,ㄓㄨ ㄦˇ ˙ㄉㄨㄛ
胛心肉,ㄐㄧㄚˇ ㄒㄧㄣ ㄖㄡˋ
大里肌,ㄉㄚˋ ㄌㄧˇ ㄐㄧ
白蔭油,ㄅㄞ˙ ㄧㄣˋ ㄧㄡˊ
醬油膏,ㄐㄧㄤˋ ㄧㄡˊ ㄍㄠ
香菇素蠔油,ㄒㄧㄤ ㄍㄨ ㄙㄨˋ ㄏㄠˊ ㄧㄡˊ
老抽,ㄌㄠˇ ㄔㄡ
烏醋,ㄨ ㄘㄨˋ
壺底蔭油,ㄏㄨˊ ㄉㄧˇ ㄧㄣˋ ㄧㄡˊ
雞蛋豆腐,ㄐㄧ ㄉㄢˋ ㄉㄡˋ ㄈㄨˇ
粄條,ㄅㄢˇ ㄊㄧㄠˊ
玉米濃湯,ㄩˋ ㄇㄧˇ ㄋㄨㄥˊ ㄊㄤ
塌棵菜,ㄊㄚ ㄎㄜ ㄘㄞˋ
子芥菜,ㄗˇ ㄐㄧㄝˋ ㄘㄞˋ
大白菜,ㄉㄚˋ ㄅㄞˊ ㄘㄞˋ
桑椹,ㄙㄤ ㄕㄣˋ
